Node,Betweenness Centrality,Closeness Centrality,Degree Centrality
 RonnieScrewvala,0.0,0.00641025641025641,0.00641025641025641
 irrfank,0.0,0.003205128205128205,0.003205128205128205
 Variety,0.0,0.00641025641025641,0.00641025641025641
 MissMalini,0.0,0.003205128205128205,0.003205128205128205
 ManishMalhotra,0.0,0.003205128205128205,0.003205128205128205
 THR,0.0,0.003205128205128205,0.003205128205128205
 OmarAbdullah,0.0,0.003205128205128205,0.003205128205128205
 KP24,0.0,0.003205128205128205,0.003205128205128205
AnushkaSharma,0.0,0.0,0.16025641025641024
 kanyewest,0.0,0.003205128205128205,0.003205128205128205
 Varun_dvn,0.0,0.00641025641025641,0.00641025641025641
 smritiirani,0.0,0.003205128205128205,0.003205128205128205
 anjanaomkashyap,0.0,0.003205128205128205,0.003205128205128205
 sambitswaraj,0.0,0.003205128205128205,0.003205128205128205
 rahulkanwal,0.0,0.003205128205128205,0.003205128205128205
 rsprasad,0.0,0.003205128205128205,0.003205128205128205
 Suhelseth,0.0,0.003205128205128205,0.003205128205128205
 iam_juhi,0.0,0.003205128205128205,0.003205128205128205
 PiyushGoyal,0.0,0.003205128205128205,0.003205128205128205
 thekiranbedi,0.0,0.003205128205128205,0.003205128205128205
 bipsluvurself,0.0,0.003205128205128205,0.003205128205128205
 AmitShah,0.0,0.003205128205128205,0.003205128205128205
AnupamPKher,0.0,0.0,0.16025641025641024
 PerezHilton,0.0,0.003205128205128205,0.003205128205128205
 SunnyLeone,0.0,0.003205128205128205,0.003205128205128205
 ayushmannk,0.0,0.003205128205128205,0.003205128205128205
 kritisanon,0.0,0.003205128205128205,0.003205128205128205
 WhatTheFFacts,0.0,0.003205128205128205,0.003205128205128205
 Actor_Siddharth,0.0,0.003205128205128205,0.003205128205128205
 MaheshNBhatt,0.0,0.003205128205128205,0.003205128205128205
 TheAcademy,0.0,0.003205128205128205,0.003205128205128205
 SadhguruJV,0.0,0.003205128205128205,0.003205128205128205
 DharmaTwoPointO,0.0,0.003205128205128205,0.003205128205128205
 apoorvamehta18,0.0,0.003205128205128205,0.003205128205128205
 TripathiiPankaj,0.0,0.003205128205128205,0.003205128205128205
 DharmaMovies,0.0,0.003205128205128205,0.003205128205128205
 BJP4India,0.0,0.003205128205128205,0.003205128205128205
karanjohar,0.0,0.0,0.03205128205128205
 republic,0.0,0.003205128205128205,0.003205128205128205
 TandonRaveena,0.0,0.003205128205128205,0.003205128205128205
 KanganaTeam,0.0,0.003205128205128205,0.003205128205128205
 TheVikasKhanna,0.0,0.003205128205128205,0.003205128205128205
 drramansingh,0.0,0.003205128205128205,0.003205128205128205
 NehaDhupia,0.0,0.003205128205128205,0.003205128205128205
 RubikaLiyaquat,0.0,0.003205128205128205,0.003205128205128205
 SwetaSinghAT,0.0,0.003205128205128205,0.003205128205128205
 SirPareshRawal,0.0,0.003205128205128205,0.003205128205128205
 thesushmitasen,0.0,0.003205128205128205,0.003205128205128205
 ScottDisick,0.0,0.003205128205128205,0.003205128205128205
 dog_rates,0.0,0.003205128205128205,0.003205128205128205
 yrf,0.0,0.003205128205128205,0.003205128205128205
 itsSSR,0.0,0.003205128205128205,0.003205128205128205
 Fact,0.0,0.003205128205128205,0.003205128205128205
 VishalDadlani,0.0,0.003205128205128205,0.003205128205128205
 humasqureshi,0.0,0.003205128205128205,0.003205128205128205
 IndianExpress,0.0,0.003205128205128205,0.003205128205128205
 taran_adarsh,0.0,0.003205128205128205,0.003205128205128205
 diljitdosanjh,0.0,0.003205128205128205,0.003205128205128205
 therealrussellp,0.0,0.00641025641025641,0.00641025641025641
 AllIndiaBakchod,0.0,0.003205128205128205,0.003205128205128205
 ANI,0.0,0.003205128205128205,0.003205128205128205
 BuzzFeed,0.0,0.003205128205128205,0.003205128205128205
 thetanmay,0.0,0.003205128205128205,0.003205128205128205
 OMGFacts,0.0,0.00641025641025641,0.00641025641025641
 adgpi,0.0,0.00641025641025641,0.00641025641025641
 ABdeVilliers17,0.0,0.003205128205128205,0.003205128205128205
 Sethrogen,0.0,0.003205128205128205,0.003205128205128205
 TheGoogleFactz,0.0,0.003205128205128205,0.003205128205128205
 JamesBlunt,0.0,0.003205128205128205,0.003205128205128205
 fjamie013,0.0,0.003205128205128205,0.003205128205128205
 TheViralFever,0.0,0.003205128205128205,0.003205128205128205
 MadhuriDixit,0.0,0.003205128205128205,0.003205128205128205
 SidMalhotra,0.0,0.003205128205128205,0.003205128205128205
 charliesheen,0.0,0.003205128205128205,0.003205128205128205
 chetan_bhagat,0.0,0.00641025641025641,0.00641025641025641
 FIFAcom,0.0,0.003205128205128205,0.003205128205128205
 Arsenal,0.0,0.003205128205128205,0.003205128205128205
 ParisHilton,0.0,0.003205128205128205,0.003205128205128205
 KapilSharmaK9,0.0,0.003205128205128205,0.003205128205128205
 kourtneykardash,0.0,0.003205128205128205,0.003205128205128205
 KimKardashian,0.0,0.003205128205128205,0.003205128205128205
 justinbieber,0.0,0.003205128205128205,0.003205128205128205
aliaa08,0.0,0.0,0.16025641025641024
 HoeZaay,0.0,0.003205128205128205,0.003205128205128205
 Trendulkar,0.0,0.003205128205128205,0.003205128205128205
 BuzzFeedNews,0.0,0.003205128205128205,0.003205128205128205
 AUThackeray,0.0,0.003205128205128205,0.003205128205128205
 hegdepooja,0.0,0.003205128205128205,0.003205128205128205
